time,mag,place
2023-03-08T11:59:18.031Z,1.2,"36 km NW of Mentasta Lake, Alaska"
2023-03-08T11:50:15.757Z,1.1,"30 km SSE of Goldfield, Nevada"
2023-03-08T11:35:41.860Z,1.54,"7km W of Holtville, CA"
2023-03-08T11:31:46.174Z,2,"9 km SSE of Chitina, Alaska"
2023-03-08T11:29:18.748Z,2.4,"7 km SSW of McCarthy, Alaska"
2023-03-08T11:29:00.793Z,2.9,"118 km E of McCarthy, Alaska"
2023-03-08T11:21:22.080Z,0.9,"12km NNW of Ocotillo, CA"
2023-03-08T11:19:17.117Z,1.6,"82 km ESE of Denali Park, Alaska"
2023-03-08T11:17:12.610Z,0.95,"10km NW of The Geysers, CA"
2023-03-08T11:09:49.590Z,1.7,"21 km NNE of Willow, Alaska"
2023-03-08T11:08:12.400Z,0.72,"103 km W of Adak, Alaska"
2023-03-08T11:05:36.610Z,0.31,"95 km W of Adak, Alaska"
2023-03-08T11:05:22.440Z,0.81,"107 km W of Adak, Alaska"
2023-03-08T11:03:54.960Z,0.42,"7km NW of The Geysers, CA"
2023-03-08T11:01:53.260Z,2.1,"93 km W of Adak, Alaska"
2023-03-08T10:52:08.854Z,1.4,"28 km WSW of Hawthorne, Nevada"
2023-03-08T10:51:57.570Z,0.63,"101 km W of Adak, Alaska"
2023-03-08T10:51:00.800Z,1.19,"103 km W of Adak, Alaska"
2023-03-08T10:50:24.780Z,1.19,"93 km W of Adak, Alaska"
2023-03-08T10:48:20.150Z,1.04,"35 km S of Silver Gate, Montana"
2023-03-08T10:48:06.717Z,2.6,"28 km NW of Toyah, Texas"
2023-03-08T10:47:34.117Z,4.5,"Mindanao, Philippines"
2023-03-08T10:46:53.910Z,-0.39,"84 km NNW of Karluk, Alaska"
2023-03-08T10:45:30.150Z,1.58,"104 km W of Adak, Alaska"
2023-03-08T10:45:05.160Z,2.08,"94 km W of Adak, Alaska"
2023-03-08T10:42:54.685Z,4.2,Afghanistan-Tajikistan border region
2023-03-08T10:42:28.660Z,1.03,"106 km W of Adak, Alaska"
2023-03-08T10:41:30.020Z,2.07,southern Idaho
2023-03-08T10:37:55.480Z,1.71,"104 km W of Adak, Alaska"
